Digestibility factors,,,,,,,,,,,,,
Dietary sources,Food group,Total Protein,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine
Endive,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Kale#,Vegetable,0.75,0.57,0.6,0.43,0.46,0.55,0.55,0.4,0.4,0.54,0.45,0.58
Leek,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Lettuce,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Mushroom,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Onion,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Paprika,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Pumpkin,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Spinach,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Tomato,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Vegetable other,Vegetable,0.75,0.71,0.74,0.68,0.69,0.72,0.72,0.67,0.67,0.73,0.69,0.74
Plant-based dietary sources,,0.72,0.69,0.7,0.69,0.68,0.7,0.68,0.68,0.68,0.68,0.68,0.7
Animal-based dietary sources,,0.96,0.95,0.95,0.96,0.95,0.97,0.91,0.96,0.96,0.93,0.95,0.95
"~All data is collected from Adhikari et al., (2023) unless stated otherwise ",,,,,,,,,,,,,
"#Data source Gilani et al., (2012)",,,,,,,,,,,,,
Digestibility factor of dietary sources in bold were obtained from the references,,,,,,,,,,,,,
"When values were not available for specific dietary source, the average digestibility factor of food group was used",,,,,,,,,,,,,
"When values were not available for dietary source and the food group, a digestibility factor of 1 was assumed",,,,,,,,,,,,,
* Digestibility of peanut and pistachio (not included in the model) was used to calculate average for the food group nuts,,,,,,,,,,,,,
| Apple juice and orange juice were treated as fruit although classified as non-alcoholic beverage,,,,,,,,,,,,,
